pair_type,model_a,model_b,layer_a,layer_b,n_samples,dim_a,dim_b,cka,svcca
intra_model,wav2vec2-base,wav2vec2-base,6,9,100,768,768,0.978305,0.999999
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,6,9,50,768,768,0.982097,0.983301
intra_model,wav2vec2-base,wav2vec2-base,3,9,100,768,768,0.968995,0.986992
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,3,6,50,768,768,0.971402,0.9769
intra_model,wav2vec2-base,wav2vec2-base,1,3,100,768,768,0.949634,0.998554
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,3,9,50,768,768,0.97777,0.965863
intra_model,wav2vec2-base,wav2vec2-base,3,6,100,768,768,0.961022,0.982172
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,1,3,50,768,768,0.95566,0.969279
intra_model,wav2vec2-base,wav2vec2-base,1,9,100,768,768,0.912228,0.999999
intra_model,wav2vec2-base,wav2vec2-base,1,6,100,768,768,0.896449,0.9938
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,1,9,50,768,768,0.925847,0.959641
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,1,6,50,768,768,0.913365,0.962601
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,9,12,50,768,768,0.720568,0.972456
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,6,12,50,768,768,0.706902,0.974763
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,3,12,50,768,768,0.704812,0.964336
intra_model,wav2vec2-base,wav2vec2-base,9,12,100,768,768,0.66765,0.992222
intra_model,wav2vec2-base,wav2vec2-base,3,12,100,768,768,0.652648,0.999999
intra_model,wav2vec2-base,wav2vec2-base,6,12,100,768,768,0.656425,0.990636
intra_model,wav2vec2-base,wav2vec2-base,1,12,100,768,768,0.627255,0.99167
intra_model,benchmark-w2v2-base,benchmark-w2v2-base,1,12,50,768,768,0.671481,0.947403
