epoch,train_loss,val_loss,val_f1,lr
1,0.55698,0.492831,0.690909,0.0002982455885348071
2,0.494777,0.478224,0.700871,0.0002930255535720594
3,0.481817,0.473851,0.700838,0.0002844684296968424
4,0.470022,0.476759,0.688525,0.00027278492169843
5,0.465398,0.467992,0.701528,0.00025826271631908303
6,0.45558,0.463367,0.707846,0.00024125939845167748
7,0.449752,0.462223,0.71351,0.00022219364621288548
8,0.4439,0.460423,0.709379,0.0002015349216984301
9,0.443881,0.462258,0.710804,0.00017979191126823302
10,0.438754,0.462853,0.708912,0.0001575000000000001
11,0.435158,0.460106,0.715372,0.0001352080887317672
12,0.433878,0.460533,0.716025,0.00011346507830157006
13,0.430069,0.462649,0.714142,9.280635378711463e-05
14,0.426804,0.46236,0.71323,7.374060154832262e-05
15,0.424986,0.462051,0.712713,5.6737283680917e-05
16,0.42575,0.463206,0.709721,4.221507830157001e-05
17,0.423505,0.461361,0.714238,3.0531570303157593e-05
18,0.421675,0.461707,0.714902,2.197444642794062e-05
19,0.423293,0.462896,0.710331,1.6754411465192883e-05
20,0.41986,0.462644,0.710268,1.4999999999999999e-05
