epoch,train_loss,val_loss,macro_f1,lr
1,0.626016,0.56073,0.1713,0.00029921937008997894
2,0.592926,0.552101,0.458905,0.00029688603310456727
3,0.569318,0.518554,0.482294,0.0002930255535720594
4,0.54441,0.50103,0.451384,0.0002876802277140706
5,0.539238,0.502706,0.507674,0.0002809086200392825
6,0.531482,0.506753,0.518896,0.00027278492169843
7,0.529967,0.496798,0.508756,0.0002633981376305287
8,0.525025,0.501169,0.513366,0.0002528511114061373
9,0.520162,0.509821,0.53739,0.00024125939845167743
10,0.522601,0.502645,0.540165,0.00022875
11,0.515565,0.493229,0.525498,0.0002154599716383016
12,0.511227,0.49433,0.52738,0.00020153492169843005
13,0.510441,0.493433,0.534298,0.00018712741594153072
14,0.506057,0.492698,0.508228,0.00017239530601564066
15,0.505793,0.493123,0.516369,0.0001575000000000001
16,0.497677,0.498071,0.519578,0.00014260469398435946
17,0.498793,0.500223,0.522595,0.00012787258405846935
18,0.495847,0.508507,0.547692,0.00011346507830157006
19,0.491006,0.500681,0.515388,9.954002836169853e-05
20,0.484207,0.504433,0.514819,8.625000000000008e-05
21,0.486926,0.49801,0.525311,7.374060154832264e-05
22,0.482425,0.503094,0.541139,6.214888859386279e-05
23,0.480937,0.499242,0.524522,5.160186236947137e-05
24,0.480719,0.50657,0.53384,4.221507830157003e-05
25,0.475374,0.505597,0.530133,3.409137996071751e-05
26,0.476252,0.503255,0.522943,2.7319772285929374e-05
27,0.474649,0.50494,0.52235,2.197444642794063e-05
28,0.475644,0.505889,0.533829,1.811396689543269e-05
29,0.472,0.5057,0.526105,1.578062991002104e-05
30,0.475995,0.507316,0.529353,1.4999999999999999e-05
