epoch,train_loss,loss_detect,loss_type,val_loss,macro_f1_type,detect_f1
1,0.937,0.286319,0.650681,1.246845,0.118977,0.0
2,0.777752,0.158693,0.619058,1.049457,0.096957,0.0
3,0.768293,0.149057,0.619236,1.054928,0.114945,0.000594
4,0.76678,0.149789,0.616991,1.04883,0.169414,0.001188
5,0.762102,0.146701,0.615402,1.045936,0.194206,0.005928
6,0.761224,0.144624,0.616599,1.09943,0.216643,0.037912
7,0.753487,0.142793,0.610694,1.040028,0.221831,0.088611
8,0.750841,0.141372,0.609469,1.070725,0.221619,0.157045
9,0.747655,0.140789,0.606866,0.999984,0.280755,0.241523
10,0.737745,0.139679,0.598067,1.085906,0.30613,0.184317
11,0.726502,0.13816,0.588342,1.10176,0.296719,0.205647
12,0.719134,0.134334,0.5848,1.00194,0.345768,0.314186
13,0.712879,0.134792,0.578087,1.00395,0.372029,0.344033
14,0.707275,0.130467,0.576808,1.04438,0.387019,0.299546
15,0.703314,0.13449,0.568823,1.046352,0.389844,0.299824
16,0.689343,0.128964,0.560379,0.967842,0.417798,0.429365
17,0.688562,0.129272,0.55929,1.008175,0.43242,0.37169
18,0.68223,0.127961,0.554269,0.953673,0.45454,0.457481
19,0.679311,0.126705,0.552606,0.918863,0.489394,0.528228
20,0.688227,0.128008,0.560218,0.955811,0.464793,0.45622
21,0.687978,0.1266,0.561378,0.985616,0.456902,0.409593
22,0.677443,0.124132,0.553312,0.943759,0.47921,0.489542
23,0.669569,0.124011,0.545558,0.974359,0.462289,0.447194
24,0.67551,0.124684,0.550826,0.972617,0.455055,0.447905
25,0.67319,0.122469,0.550721,0.979992,0.451211,0.431944
26,0.667643,0.122389,0.545255,0.97911,0.460321,0.443372
27,0.670775,0.120051,0.550724,0.976523,0.459452,0.455229
28,0.672949,0.122827,0.550122,0.947891,0.469328,0.489887
29,0.668187,0.119918,0.548269,0.968783,0.463062,0.45713
30,0.671547,0.11872,0.552827,0.963772,0.468117,0.470721
