epoch,train_loss,val_loss,macro_f1
1,0.539035,0.440438,0.619408
2,0.435437,0.428278,0.649375
3,0.394218,0.441616,0.648407
4,0.362394,0.465854,0.642518
5,0.32072,0.503092,0.643183
6,0.285477,0.537857,0.628123
7,0.251154,0.539117,0.640935
8,0.219578,0.619259,0.636882
9,0.191391,0.629337,0.636578
10,0.163204,0.668423,0.632874
11,0.142455,0.72217,0.628253
12,0.124757,0.749714,0.632081
13,0.114822,0.764161,0.629172
14,0.09797,0.804557,0.624463
15,0.086606,0.835776,0.637562
16,0.075261,0.874837,0.627457
17,0.068412,0.894995,0.634706
18,0.057469,0.974767,0.62172
19,0.053021,0.981467,0.628596
20,0.048214,0.999924,0.621416
21,0.041411,1.034885,0.631222
22,0.03541,1.063771,0.63619
23,0.030865,1.077357,0.642695
24,0.028869,1.116316,0.63639
25,0.025585,1.136525,0.631101
26,0.020009,1.178483,0.638445
27,0.018736,1.215745,0.629151
28,0.016305,1.216375,0.630848
29,0.01446,1.242851,0.635329
30,0.012286,1.276532,0.637303
31,0.011475,1.285472,0.638264
32,0.010511,1.309273,0.634059
33,0.008888,1.312118,0.636684
34,0.007807,1.340005,0.631515
35,0.007343,1.342721,0.63216
36,0.007562,1.347085,0.632943
37,0.006663,1.352091,0.632731
38,0.006579,1.364737,0.632696
39,0.005778,1.370777,0.635905
40,0.005915,1.369766,0.635065
