epoch,train_loss,val_loss,macro_f1
10,0.612509,0.600442,0.392423
20,0.57469,0.564031,0.355466
30,0.551397,0.540362,0.367862
40,0.536574,0.525122,0.412584
50,0.525631,0.514531,0.443339
60,0.517464,0.507092,0.466868
70,0.512399,0.501936,0.484827
80,0.508614,0.498059,0.493626
90,0.505352,0.495546,0.503322
100,0.502474,0.49353,0.506631
110,0.499746,0.492056,0.510802
120,0.49905,0.491016,0.512807
130,0.498416,0.490122,0.513314
140,0.49707,0.489488,0.513655
150,0.497727,0.489024,0.514059
160,0.497193,0.488619,0.514505
170,0.49669,0.488378,0.514644
180,0.496034,0.488196,0.515339
190,0.495348,0.488062,0.513939
200,0.495037,0.487932,0.514957
