epoch,train_loss,val_loss,macro_f1
1,0.637437,0.577733,0.115069
2,0.617552,0.585209,0.208383
3,0.611035,0.565156,0.218109
4,0.609984,0.562328,0.209273
5,0.605059,0.560995,0.239566
6,0.603719,0.564784,0.243039
7,0.59988,0.572437,0.417136
8,0.599046,0.553838,0.319748
9,0.599327,0.554682,0.347009
10,0.598718,0.556776,0.288256
11,0.597406,0.562009,0.33793
12,0.59467,0.560903,0.269601
13,0.598156,0.540744,0.302236
14,0.593499,0.544804,0.337871
15,0.598755,0.562975,0.342527
16,0.591438,0.548921,0.431207
17,0.592621,0.560815,0.433916
18,0.589118,0.546089,0.354867
19,0.595634,0.537988,0.368482
20,0.589302,0.537763,0.359347
21,0.594451,0.545361,0.416188
22,0.588953,0.539155,0.366559
23,0.590952,0.553555,0.372122
24,0.58892,0.543792,0.354811
25,0.591889,0.540824,0.388623
26,0.592285,0.554065,0.41943
27,0.592233,0.536747,0.39534
28,0.589366,0.542658,0.394981
29,0.588822,0.537141,0.383286
30,0.587782,0.547624,0.39055
31,0.592,0.541478,0.378757
32,0.586063,0.540256,0.403958
33,0.584813,0.535,0.430969
34,0.583972,0.544596,0.424614
35,0.580718,0.539427,0.413945
36,0.583906,0.538033,0.386969
37,0.585562,0.538079,0.395889
38,0.586263,0.539812,0.391612
39,0.584697,0.540717,0.389839
40,0.581529,0.533992,0.412259
41,0.591651,0.538686,0.404737
42,0.586924,0.536785,0.399837
43,0.586687,0.535454,0.388858
44,0.583937,0.533057,0.39151
45,0.586019,0.534886,0.398047
46,0.584003,0.535328,0.401295
47,0.584829,0.537273,0.389656
48,0.586639,0.536541,0.399637
49,0.578942,0.535926,0.399073
50,0.585031,0.536537,0.407976
