epoch,stutter_loss,speaker_loss,val_loss,macro_f1,grl_lambda
1,0.633504,1.607625,0.568031,0.159906,0.05
2,0.597673,1.516605,0.546772,0.308707,0.1
3,0.584299,1.492833,0.534349,0.317953,0.15
4,0.576282,1.496101,0.529916,0.371059,0.2
5,0.566744,1.505463,0.523081,0.388602,0.25
6,0.56605,1.495528,0.523047,0.454724,0.3
7,0.559606,1.489953,0.516614,0.463541,0.35
8,0.554121,1.474884,0.512718,0.463212,0.4
9,0.552468,1.456265,0.506823,0.473434,0.45
10,0.547865,1.43892,0.512557,0.49309,0.5
11,0.546429,1.426607,0.504322,0.490973,0.5
12,0.542326,1.415522,0.501611,0.499395,0.5
13,0.538777,1.397771,0.498384,0.507033,0.5
14,0.537351,1.391005,0.500808,0.509114,0.5
15,0.536969,1.389729,0.501635,0.50919,0.5
16,0.535326,1.390922,0.499206,0.514613,0.5
17,0.532654,1.372447,0.497123,0.526281,0.5
18,0.530873,1.380398,0.496256,0.506832,0.5
19,0.530857,1.374222,0.499115,0.534052,0.5
20,0.531761,1.373295,0.497142,0.527765,0.5
21,0.529265,1.375081,0.495037,0.522131,0.5
22,0.526252,1.374992,0.491766,0.525674,0.5
23,0.528469,1.375616,0.490274,0.52211,0.5
24,0.528163,1.379321,0.490133,0.523169,0.5
25,0.525757,1.380539,0.493515,0.534262,0.5
26,0.524834,1.377914,0.489889,0.532451,0.5
27,0.521782,1.369208,0.490511,0.539225,0.5
28,0.521183,1.377967,0.488599,0.528754,0.5
29,0.524233,1.376585,0.489003,0.518774,0.5
30,0.52535,1.374491,0.49031,0.535754,0.5
31,0.522196,1.371724,0.489431,0.533303,0.5
32,0.517275,1.373113,0.487179,0.530603,0.5
33,0.520756,1.37096,0.490034,0.535228,0.5
34,0.521134,1.38335,0.488708,0.53039,0.5
35,0.522734,1.366387,0.486873,0.530906,0.5
36,0.519838,1.379781,0.488053,0.53315,0.5
37,0.519495,1.362944,0.487879,0.532108,0.5
38,0.521914,1.372127,0.487393,0.532823,0.5
39,0.515139,1.379142,0.48522,0.529421,0.5
40,0.521303,1.362699,0.486626,0.53679,0.5
41,0.515837,1.370748,0.485851,0.535911,0.5
42,0.519065,1.374983,0.486269,0.534737,0.5
43,0.514779,1.371404,0.485642,0.537108,0.5
44,0.517757,1.374125,0.487097,0.538482,0.5
45,0.517264,1.369816,0.486235,0.53652,0.5
46,0.515332,1.366813,0.486294,0.533824,0.5
47,0.520433,1.373263,0.486536,0.539927,0.5
48,0.515755,1.370086,0.485939,0.534472,0.5
49,0.519444,1.368533,0.486371,0.536097,0.5
50,0.518948,1.37085,0.486885,0.531167,0.5
