epoch,train_loss,val_loss,macro_f1,lr
1,1.030484,0.950044,0.422026,0.00029921937008997894
2,1.000519,0.939378,0.406768,0.00029688603310456727
3,0.994897,0.955925,0.475693,0.0002930255535720594
4,0.984677,0.924153,0.412005,0.0002876802277140706
5,0.976956,0.937092,0.404435,0.0002809086200392825
6,0.968017,0.94646,0.490912,0.00027278492169843
7,0.957711,0.889937,0.50694,0.0002633981376305287
8,0.947583,0.889042,0.505499,0.0002528511114061373
9,0.935753,0.889289,0.510616,0.00024125939845167743
10,0.935209,0.871093,0.521538,0.00022875
11,0.925167,0.86951,0.521539,0.0002154599716383016
12,0.916194,0.864115,0.516293,0.00020153492169843005
13,0.916022,0.871456,0.52166,0.00018712741594153072
14,0.913302,0.864647,0.524497,0.00017239530601564066
15,0.906416,0.848442,0.531265,0.0001575000000000001
16,0.90085,0.850447,0.532767,0.00014260469398435946
17,0.900106,0.846344,0.531907,0.00012787258405846935
18,0.898167,0.858398,0.528865,0.00011346507830157006
19,0.892793,0.851644,0.535251,9.954002836169853e-05
20,0.89714,0.846466,0.532305,8.625000000000008e-05
21,0.893303,0.84417,0.53726,7.374060154832264e-05
22,0.898751,0.854314,0.531921,6.214888859386279e-05
23,0.888931,0.848309,0.534441,5.160186236947137e-05
24,0.892691,0.843105,0.539779,4.221507830157003e-05
25,0.886629,0.83827,0.539844,3.409137996071751e-05
26,0.89028,0.835868,0.544767,2.7319772285929374e-05
27,0.884761,0.838889,0.540021,2.197444642794063e-05
28,0.88752,0.840434,0.537506,1.811396689543269e-05
29,0.883567,0.844678,0.535476,1.578062991002104e-05
30,0.887699,0.844332,0.536035,1.4999999999999999e-05
