epoch,train_loss,val_loss,macro_f1
1,0.588716,0.412815,0.138021
2,0.404142,0.319183,0.508407
3,0.352783,0.303636,0.572119
4,0.333629,0.301429,0.581619
5,0.315654,0.304056,0.59802
6,0.30691,0.307159,0.600019
7,0.297505,0.307734,0.592582
8,0.286344,0.313929,0.586041
9,0.275884,0.319528,0.599471
10,0.268403,0.323049,0.596253
11,0.262755,0.325401,0.595312
12,0.254856,0.330182,0.591186
13,0.24978,0.334399,0.597829
14,0.24369,0.343648,0.591062
15,0.239281,0.344408,0.595206
16,0.23272,0.349652,0.5859
17,0.230086,0.351487,0.589417
18,0.228241,0.357735,0.582242
19,0.222987,0.362148,0.579716
20,0.217729,0.363668,0.592041
21,0.217996,0.367659,0.575328
22,0.215683,0.373011,0.581341
23,0.21626,0.372105,0.584445
24,0.212534,0.383483,0.592214
25,0.211687,0.382068,0.587892
26,0.211241,0.384566,0.589526
27,0.207884,0.386978,0.583186
28,0.205602,0.388201,0.593525
29,0.204141,0.394338,0.592127
30,0.203858,0.39655,0.590134
31,0.203986,0.39989,0.596981
32,0.202952,0.40137,0.587296
33,0.198418,0.40947,0.588864
34,0.199776,0.405454,0.590354
35,0.200046,0.411025,0.591367
36,0.199353,0.411222,0.587984
37,0.197618,0.418579,0.591854
38,0.194816,0.415681,0.588907
39,0.19852,0.423062,0.592169
40,0.193254,0.421606,0.590392
41,0.196357,0.42181,0.591327
42,0.194414,0.425924,0.589363
43,0.193454,0.429118,0.586176
44,0.197184,0.424763,0.585766
45,0.192822,0.432227,0.583146
46,0.194753,0.428057,0.586384
47,0.192619,0.432104,0.586993
48,0.192679,0.430635,0.585702
49,0.19393,0.436048,0.589505
50,0.193604,0.435751,0.58576
51,0.193069,0.434763,0.588101
52,0.195662,0.432688,0.586189
53,0.194979,0.434128,0.587822
54,0.190535,0.437676,0.586947
55,0.190927,0.439917,0.585966
56,0.192829,0.435712,0.590154
57,0.190367,0.440357,0.586735
58,0.193517,0.439059,0.58781
59,0.191794,0.438447,0.58838
60,0.189336,0.441831,0.589175
